--- Episode Start: 120 steps ---
Step 110 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 111 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 112 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 113 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 114 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 115 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 116 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 117 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 118 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 119 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
--- Episode End ---
