--- Episode Start: 120 steps ---
Step 052 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 053 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 054 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 055 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 056 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 057 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 058 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 059 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 060 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 061 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 062 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 063 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 064 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 065 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 066 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 067 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 068 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 069 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 070 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
